VehicleNumber,Adherence,normave,std
50,30,0.872,0.219308002589965
50,60,0.54,0.060663003552412
50,100,0.24,0.104307238483242
100,30,1.14,0.160499221181911
100,60,0.916,0.407607654491424
100,100,0.482,0.144416065588286
200,30,1.174,0.423808919207701
200,60,0.849,0.267458407981503
200,100,0.464,0.186906393684111
