zAxisPos,xAxisPos,AgentID,collisions,topSpeed(mph),currentSpeed(mph),distanceOfTravel(meters),raycastLength,tractionControl,VelocityMagnitude(BETA),VehicleMass,Downforce
-314.6255,72.85863,-437468,0,-0.05,0.9164924000000001,1027.9180000000001,6,0,0.4096971,1361,5.464564
-314.3487,-185.0931,-349466,5,20.0,10.0,1121.354,7,0,4.520736,2499,2.785405
-313.6866,-200.9729,-349378,0,20.0,10.0,1261.125,7,0,4.525618,5389,6.3220410000000005
-312.681,-225.8274,-350698,8,44.0,16.5758,1863.685,7,0,7.409835,6701,0.24503490000000003
-309.8544,74.33481,-438084,1,0.0,0.0,1994.6870000000001,7,0,0.0763683,6701,0.24503490000000003
-309.5194,-194.1083,-439052,1,31.0,13.40952,1743.354,2,0,5.994421,1298,2.323268
-299.3217,-45.51855,-353162,4,42.0,21.0,2102.8920000000003,4,0,9.427227,3483,8.860469
-297.1425,195.2281,-410942,5,0.0,10.46027,2826.995,1,0,4.676028,7106,3.917767
-295.1693,195.2802,-407334,3,20.0,10.0,1695.194,4,0,4.675395,2268,6.336945
-291.226,74.54005,-408742,1,35.0,12.83489,2846.789,2,0,5.737545,977,2.5486169999999997
-284.0193,-214.7605,-350434,11,0.0,0.0,450.2972,4,0,0.07577211,4703,9.241696000000001
-283.8281,-259.5437,-352018,14,41.0,11.00892,1304.438,3,0,4.921288,3576,6.807281
-281.0174,74.12907,-323264,0,35.0,17.5,1578.75,2,0,7.851686999999999,3134,0.8500629999999999
-270.0102,104.2745,-438348,0,38.0,19.0,2007.6729999999998,9,0,8.539553999999999,2105,5.804913
-256.4331,5.1980900000000005,-409710,1,-0.05,0.1998046,2614.847,3,0,0.08931813,7223,1.859479
-256.1154,147.246,-409446,2,30.0,15.127279999999999,2455.683,2,0,6.762307000000001,1147,5.214017
-255.9997,8.832929,-410502,4,0.0,0.0,812.7864,7,0,0.06155767,2676,3.633125
-255.5618,-48.41144,-411118,4,35.0,10.836839999999999,1526.908,2,0,4.844362,139,6.837638
-253.6849,-168.3064,-440108,2,40.0,25.1278,1753.533,1,0,11.23281,7106,3.917767
-252.833,0.3721563,-438436,5,31.0,15.5,1586.668,5,0,6.971496000000001,937,8.544025999999999
-252.1103,196.0853,-322648,3,33.0,16.5,1546.0620000000001,6,0,7.414263,2138,5.405807
-245.7499,-104.5362,-321064,1,10.0,4.999999,1068.808,4,0,2.30127,3187,1.346459
-231.7273,224.0343,-320624,5,30.0,13.07702,1015.265,8,0,5.845784,2122,4.190197
-226.3876,-204.3934,-352370,1,0.0,0.0,686.5022,6,0,0.06769466,5725,2.193673
-226.1689,10.43847,-411646,3,40.0,19.001070000000002,2607.536,7,0,8.493997,981,4.894718
-225.4062,191.7914,-438260,0,31.0,15.5,1835.5279999999998,2,0,6.972117,7028,0.23825239999999998
-225.2245,83.7711,-324056,1,30.0,16.12304,1437.852,4,0,7.207438000000001,7160,2.699402
-224.6819,238.9534,-352810,0,32.0,16.0,1794.1860000000001,8,0,7.197755,4098,7.105482
-224.6084,70.54134,-379416,0,10.0,4.999999,1325.0120000000002,4,0,2.2862970000000002,7303,5.851449
-223.3743,111.4033,-440812,3,40.0,20.0,1664.64,7,0,8.968791,981,4.894718
-220.7327,-73.73238,-320536,1,10.0,5.0,1029.258,4,0,2.290763,7020,0.9956384
-218.6705,47.00956,-439228,2,42.0,7.5464020000000005,2117.947,7,0,3.3734480000000002,1497,5.038979
-217.9393,-46.423770000000005,-351314,0,35.0,23.2566,2055.974,4,0,10.39633,682,5.080798000000001
-217.0462,-106.5845,-352194,5,40.0,21.74295,1878.519,2,0,9.71969,493,2.751297
-204.2973,104.7677,-351666,6,31.0,15.5,1653.4779999999998,2,0,6.969860000000001,1298,2.323268
-203.12099999999998,-75.57224000000001,-379328,0,10.0,5.0,1178.388,4,0,2.2989189999999997,5011,7.313003
-196.6817,97.48148,-438964,1,35.0,17.5,1957.0910000000001,8,0,7.872547,7336,7.434247999999999
-195.9179,139.4108,-351578,2,35.0,17.41774,2016.546,8,0,7.786205000000001,7336,7.434247999999999
-195.0971,37.07176,-351050,6,31.0,15.5,1369.5720000000001,5,0,6.965386,937,8.544025999999999
-194.7349,195.3852,-353250,2,42.0,21.0,1879.521,7,0,9.428061,3437,6.234212
-193.9707,32.857479999999995,-437204,3,20.0,10.1416,1314.8129999999999,4,0,4.533572,7020,0.9956384
-193.8602,139.5813,-350258,1,20.0,11.09488,1305.504,4,0,4.959714,7303,5.851449
-193.2976,-61.552319999999995,-321944,0,30.0,15.0,1437.8410000000001,2,0,6.792304,1147,5.214017
-190.9819,-210.0953,-440548,0,42.0,16.62983,1741.432,4,0,7.433985000000001,3483,8.860469
-190.5898,-43.9303,-322120,0,30.0,15.0,1457.3870000000002,8,0,6.714617,4047,1.131522
-190.4773,-281.7004,-321328,1,36.0,11.99302,1479.8,4,0,5.361206,1118,5.458315
-188.2286,-253.797,-410590,0,39.0,10.13734,2874.48,6,0,4.531666,5725,2.193673
-185.1275,35.025079999999996,-322912,3,40.0,18.56394,1835.575,2,0,8.298588,493,2.751297
-184.6001,-257.0742,-382320,1,42.0,21.0,2052.643,4,0,9.426777000000001,3483,8.860469
-183.9648,254.1124,-351842,0,42.0,21.0,2148.187,7,0,9.426563999999999,1497,5.038979
