zAxisPos,xAxisPos,AgentID,collisions,topSpeed(mph),currentSpeed(mph),distanceOfTravel(meters),raycastLength,tractionControl,VelocityMagnitude(BETA),VehicleMass,Downforce
-344.5349,52.46593000000001,-560832,5,40.0,20.0,975.7182,2,0,8.977188,3316,4.427606
-316.892,72.1564,-467064,1,37.0,17.65011,660.9973,4,0,7.8900820000000005,1006,2.722359
-315.5942,-22.15485,-475864,3,36.0,7.191400999999999,348.0579,5,0,3.214752,165,4.783823
-315.0838,62.14258,-589106,2,20.0,10.0,482.0439,4,0,4.518776,7020,0.9956384
-314.2901,93.26715,-633304,0,20.0,10.0,281.5112,7,0,4.519328,6701,0.24503490000000003
-313.8983,-39.10667,-549920,1,20.0,10.0,640.663,4,0,4.512688,1290,5.488004
-313.4157,-22.04191,-518926,2,30.0,16.54636,935.5267,9,0,7.396673,6154,9.644567
-313.0475,-20.83199,-463104,2,0.0,6.112946,410.9796,3,0,2.732653,2995,2.113513
-312.9928,-173.9088,-511006,0,41.0,16.35418,1060.185,5,0,7.310763000000001,567,6.60916
-312.8441,85.27915,-644744,0,36.0,18.0,383.3682,1,0,8.087241,5506,9.882827
-312.7102,-212.2752,-561800,4,0.0,18.44501,923.2975,6,0,8.245422999999999,1847,2.605292
-312.3426,-41.70102,-506606,0,20.0,10.0,666.2936,3,0,4.522856,6708,2.001041
-312.2795,-227.3775,-641224,1,43.0,14.8091,390.5478,1,0,6.620074000000001,6710,6.323258999999999
-311.4985,-214.08,-561712,1,32.0,16.0,901.9731,4,0,7.198805,2346,0.4269407
-311.2014,-24.3732,-645712,0,36.0,14.03035,335.9512,9,0,6.2719510000000005,3088,5.074343
-307.578,194.9416,-602306,0,38.0,18.82039,809.8336,5,0,8.413229,2513,9.755142999999999
-306.6916,222.6922,-646680,0,0.0,16.0,337.9803,4,0,7.1964690000000004,3068,2.369606
-305.2809,-197.0693,-507310,1,30.0,15.10401,863.7444,1,0,6.7519029999999995,3692,8.432408
-294.5278,-197.5546,-468296,6,35.0,17.5,359.8491,3,0,7.866275,1197,1.8300419999999997
-292.8102,-223.1315,-592626,0,0.0,0.0,523.3449,4,0,0.06592458,7160,2.699402
-292.2245,-164.7558,-553088,1,44.0,9.54739,925.9681,3,0,4.267944,4088,0.3196158
-287.6651,-43.655390000000004,-517342,0,35.0,14.30984,1018.3989999999999,6,0,6.39689,5703,0.7675960999999999
-287.4548,-165.335,-469352,5,42.0,15.147120000000001,368.2601,4,0,6.771175,4589,8.546763
-285.8399,-31.83255,-593418,1,20.0,16.49169,455.4289,8,0,7.372235000000001,3091,2.0693080000000004
-285.5255,-188.734,-603978,3,0.0,0.0,573.6539,4,0,0.0705028,2392,1.7873560000000002
-285.427,23.41834,-550624,3,0.0,4.015438,556.5132,3,0,1.7950099999999998,7420,7.819134
-285.3836,32.53111,-462840,8,0.0,0.0,178.9427,7,0,0.12826669999999998,3437,6.234212
-285.1602,30.50048,-474368,10,40.0,0.3161171,223.6911,2,0,0.14131300000000002,3316,4.427606
-284.9252,-205.0174,-503350,5,20.0,9.999998,652.5309,2,0,4.516232,977,2.5486169999999997
-284.9241,-211.3507,-591570,4,20.0,9.999998,479.6484,7,0,4.521275,2676,3.633125
-284.1137,45.21772,-605738,0,37.0,12.22832,750.5642,3,0,5.466394,789,8.156995
-283.7928,-192.37400000000002,-601954,7,0.0,1.5717780000000001,278.5267,3,0,0.7026278,261,9.636234
-283.6978,-196.3605,-469000,3,39.0,19.5,574.8765,5,0,8.757831,2084,5.467229
-283.6363,-188.9152,-589458,0,18.95,10.109060000000001,507.4788,4,0,4.519024,5011,7.313003
-283.2784,-222.9295,-602130,3,0.0,0.9656450999999999,683.2733,8,0,0.4316697,4990,6.442111
-283.2517,51.77554,-647736,1,39.0,19.5,373.0827,7,0,8.756763000000001,5402,4.443555
-283.2354,204.2002,-642280,0,30.0,15.0,402.3946,6,0,6.795472999999999,2394,7.919082
-283.1855,17.08355,-596762,3,37.0,18.14369,713.3658,4,0,8.110725,1006,2.722359
-282.5819,74.66018000000001,-473048,2,39.0,19.5,503.8166,9,0,8.760715,7249,6.188072
-282.5761,-275.6975,-510038,3,42.0,21.0,1109.18,1,0,9.427133999999999,3781,9.460042
-282.538,197.3969,-467944,3,31.0,15.5,603.5728,1,0,6.947102,2003,8.914223
-282.5099,-149.8783,-476216,7,38.0,17.5096,522.3064,4,0,7.827269,718,2.3908
-281.7449,-192.5467,-590514,8,0.0,8.256886,351.066,2,0,3.6910529999999997,1147,5.214017
