zAxisPos,xAxisPos,AgentID,collisions,topSpeed(mph),currentSpeed(mph),distanceOfTravel(meters),raycastLength,tractionControl,VelocityMagnitude(BETA),VehicleMass,Downforce
-336.9212,45.79285,-507510,0,20.0,10.145769999999999,633.3093,1,0,4.535437,6787,8.933539999999999
-331.0407,45.2757,-500910,0,20.0,10.0,576.5281,2,0,4.519654,977,2.5486169999999997
-315.5833,50.86874,-60134,0,20.0,9.999998,750.6301,7,0,4.519741000000001,6701,0.24503490000000003
-314.7015,219.0415,-472858,0,20.0,8.696399000000001,663.1386,2,0,3.8875269999999995,116,6.786944999999999
-314.6225,57.61241999999999,-470394,0,20.0,10.0,590.0911,4,0,4.5170330000000005,1290,5.488004
-314.6212,65.46776,-536150,0,20.0,12.4067,605.1923,6,0,5.5461339999999995,2138,5.405807
-314.2654,-212.5335,-533686,2,20.0,10.0,643.3815,7,0,4.5216650000000005,2499,2.785405
-314.1602,202.5589,-808384,0,20.0,10.0,1117.538,7,0,4.520299,3437,6.234212
-313.7917,-189.0805,-539494,1,20.0,10.0,644.8384,6,0,4.521808999999999,5289,0.7448353
-313.3688,-190.4412,-810760,0,20.0,11.02867,1253.98,8,0,4.930116,5646,5.013028
-310.5883,-224.6893,-541430,0,20.0,9.305635,614.3530000000001,1,0,4.159873,3781,9.460042
-310.45799999999997,-224.1749,-508038,4,0.0,0.1401736,502.0401,9,0,0.06266142,5329,3.867268
-308.3732,46.1626,-499942,0,20.0,12.28877,587.0748,8,0,5.493412999999999,7102,2.801346
-307.8959,-224.2834,-501438,4,0.0,5.558719,462.4713,5,0,2.484899,937,8.544025999999999
-306.1126,222.7309,-538350,0,20.0,9.999998,682.2147,8,0,4.571382,3091,2.0693080000000004
-304.894,45.6954,-533862,0,20.0,9.999998,654.9803,3,0,4.522599,5870,0.502775
-298.2624,195.3192,-61718,1,20.0,10.0,768.215,7,0,4.518879,2676,3.633125
-297.4059,-224.5781,-536854,4,20.0,10.0,670.7934,1,0,4.5214099999999995,2506,8.636484
-296.7205,44.86117,-469162,2,20.0,10.0,488.0673,1,0,4.5210099999999995,2506,8.636484
-292.8698,-14.66973,-468458,0,20.0,10.0,583.0304,6,0,4.517998,2138,5.405807
