zAxisPos,xAxisPos,AgentID,collisions,topSpeed(mph),currentSpeed(mph),distanceOfTravel(meters),raycastLength,tractionControl,VelocityMagnitude(BETA),VehicleMass,Downforce
-314.4357,-210.3164,-147168,0,20.0,10.0,1135.195,4,0,4.520276,3483,8.860469
-313.2625,-172.5069,-57712,2,20.0,13.19227,1030.715,9,0,5.897304,2105,5.804913
-290.9168,223.8978,-116358,0,20.0,10.0,1247.424,8,0,4.520503,4047,1.131522
-290.3976,-15.75818,-29342,2,20.0,10.0,911.3599,6,0,4.518997,2138,5.405807
-284.9107,-25.81178,-145056,0,20.0,10.0,1037.39,5,0,4.515561,937,8.544025999999999
-284.6479,33.729009999999995,-117766,0,10.0,5.0,1191.271,8,0,2.291173,4098,7.105482
-284.6052,58.94696,-87056,0,20.0,15.65806,1574.106,2,0,6.999581,282,0.2908893
-284.5905,-15.93631,-85296,0,20.0,9.999998,1377.734,7,0,4.525951999999999,5389,6.3220410000000005
-284.4656,-187.5087,-114246,0,20.0,10.0,1372.977,6,0,4.526174,7413,4.717373
-281.9001,-14.3075,-56656,1,20.0,3.9510919999999996,1172.279,8,0,1.766246,2122,4.190197
-280.0536,223.6755,-88464,1,30.0,15.07918,1350.5910000000001,2,0,6.740806,3134,0.8500629999999999
-277.2702,-164.9084,-114686,0,30.0,15.0,1428.773,8,0,6.7496089999999995,3715,9.096752
-276.7288,-13.985779999999998,-59384,2,20.0,9.999998,920.4732,1,0,4.515337000000001,2506,8.636484
-270.1236,164.4114,-30662,1,20.0,10.0,1009.8589999999999,7,0,4.521132,3437,6.234212
-266.4457,-195.2685,-117414,0,20.0,11.4242,1116.951,3,0,5.10693,138,4.220197
-263.4905,15.368839999999999,-29078,0,10.0,5.0,951.9572,2,0,2.286334,1298,2.323268
-259.9037,73.95329,-28286,0,20.0,10.0,928.9133,2,0,4.509664,7028,0.23825239999999998
-259.1925,-164.7436,-26966,1,30.0,26.639429999999997,1106.114,8,0,11.90855,7102,2.801346
-257.3563,-12.04882,-118030,3,20.0,9.999998,1326.0720000000001,6,0,4.520143,7014,5.835563
-256.0098,100.6035,-115654,3,20.0,11.49865,1373.595,7,0,5.140211,6701,0.24503490000000003
-255.1203,222.1777,-115214,1,30.0,24.87931,1461.142,4,0,11.12173,7303,5.851449
-254.9717,31.71743,-87848,0,20.0,10.0,1315.524,6,0,4.5184050000000004,2138,5.405807
-254.3426,120.3263,-144264,0,20.0,10.0,1105.89,4,0,4.521631,7303,5.851449
-237.6707,-45.171040000000005,-118206,1,20.0,10.0,1267.202,7,0,4.5199169999999995,3437,6.234212
-226.1362,-169.8519,-88728,0,20.0,10.0,1384.4520000000002,8,0,4.517926999999999,4098,7.105482
-225.3022,-72.04458000000001,-114334,3,10.0,5.0,1102.869,7,0,2.289763,5389,6.3220410000000005
-225.2527,-30.38448,-115038,0,20.0,10.0,1397.805,6,0,4.5193449999999995,1361,5.464564
-224.803,223.8432,-85648,2,20.0,10.0,1374.4360000000001,8,0,4.521536,3715,9.096752
-224.27200000000002,97.79939,-147256,0,20.0,10.89,1056.1860000000001,7,0,4.868125,3437,6.234212
-223.6865,-136.7001,-56128,0,20.0,10.10829,1041.517,7,0,4.518681,5389,6.3220410000000005
-222.7191,193.8371,-30222,1,20.0,12.86421,1007.043,8,0,5.750653,4098,7.105482
-217.2359,193.2288,-58592,0,20.0,10.0,1080.5,7,0,4.57032,1497,5.038979
-201.7651,-106.6584,-146816,0,20.0,10.27079,957.3058,8,0,4.591324,4098,7.105482
-196.8401,184.0841,-116094,0,20.0,9.999998,1402.846,2,0,4.536861,282,0.2908893
-195.1749,35.08023,-26614,1,20.0,10.0,953.9424,2,0,4.524322,7485,6.154612
-194.6017,36.29951,-114862,0,20.0,9.999998,1416.203,8,0,4.52184,2122,4.190197
-194.5008,272.2784,-144352,0,20.0,10.0,1047.606,4,0,4.520478,3187,1.346459
-194.0173,67.48371,-89168,2,20.0,13.48904,1251.539,7,0,6.029968,3437,6.234212
-185.3194,-283.7534,-86088,0,20.0,13.65376,1278.389,4,0,6.1036019999999995,5011,7.313003
-178.351,163.0219,-87936,0,20.0,10.0,1339.372,3,0,4.5620389999999995,3576,6.807281
-178.0438,165.1087,-88992,0,20.0,10.6231,1416.604,6,0,4.748817,7014,5.835563
-174.6858,-15.573260000000001,-27582,0,10.0,5.0,981.3923,4,0,2.288857,5011,7.313003
-173.6813,-104.7646,-28638,11,20.0,1.1673959999999999,845.3578,2,0,0.521858,1147,5.214017
-171.705,-104.4024,-27934,9,0.0,1.4321620000000002,592.6973,2,0,0.6402153,977,2.5486169999999997
-164.4228,-68.34463000000001,-28726,3,20.0,10.0,991.3565,4,0,4.510468,682,5.080798000000001
-164.0772,219.5574,-145848,0,20.0,11.37665,1096.744,7,0,5.0856699999999995,1497,5.038979
-163.5109,-68.14056,-85736,0,20.0,10.11646,1360.14,4,0,4.522336,7020,0.9956384
-156.782,76.06724,-145144,0,20.0,13.127239999999999,1182.3519999999999,2,0,5.8682360000000005,282,0.2908893
-144.7733,285.1688,-59824,0,20.0,10.0,1031.85,6,0,4.5312220000000005,7014,5.835563
-144.697,223.92,-57448,0,20.0,10.0,1098.741,7,0,4.516561,6701,0.24503490000000003
-144.2907,163.6362,-115566,0,20.0,10.0,1266.032,4,0,4.514696,1118,5.458315
-138.2168,-194.4473,-117238,1,20.0,10.0,1355.192,7,0,4.518853,2676,3.633125
-137.1936,74.22088000000001,-27406,1,20.0,10.0,1028.91,5,0,4.527825,6295,6.129537
-135.8974,-218.4957,-58680,0,20.0,11.658710000000001,1084.242,6,0,5.211762,2138,5.405807
-135.6128,127.3085,-115390,0,20.0,10.0,1380.809,4,0,4.510239,4703,9.241696000000001
-135.5787,-142.1852,-147080,0,20.0,9.999998,1097.567,6,0,4.529203,7014,5.835563
-135.566,-68.91478000000001,-114598,0,20.0,10.0,1330.479,3,0,4.518355000000001,5870,0.502775
-134.8103,60.804869999999994,-58240,0,20.0,10.10862,1072.627,3,0,4.51883,7223,1.859479
-134.5275,-232.2522,-116534,0,20.0,10.0,1683.243,8,0,4.519348,7336,7.434247999999999
-133.9664,189.3208,-87144,0,10.0,5.0,1313.9920000000002,2,0,2.289247,1147,5.214017
-133.6432,230.9885,-146552,0,20.0,10.11001,1040.377,2,0,4.519448000000001,3134,0.8500629999999999
-118.9538,-253.67700000000002,-85560,0,20.0,10.24699,1497.213,3,0,4.580686,5870,0.502775
-118.1501,226.4694,-146728,0,20.0,10.375810000000001,1074.12,1,0,4.638271,7106,3.917767
-118.1355,-285.8162,-147432,0,20.0,10.0,1038.346,7,0,4.518229,981,4.894718
-112.7628,136.5137,-30750,0,20.0,10.13707,1091.0910000000001,4,0,4.5315449999999995,7160,2.699402
