zAxisPos,xAxisPos,AgentID,collisions,topSpeed(mph),currentSpeed(mph),distanceOfTravel(meters),raycastLength,tractionControl,VelocityMagnitude(BETA),VehicleMass,Downforce
-343.6021,45.41973,-387258,0,34.0,11.57204,606.6977,7,0,5.173018,2558,7.833674
-331.7143,45.02835,-259612,4,38.0,11.1463,851.8295,4,0,4.9827,718,2.3908
-319.0931,46.55339,-253628,6,0.0,17.91648,789.0951,8,0,8.009155999999999,2302,3.1210310000000003
-315.4559,11.58497,-375466,0,30.0,15.0,424.5257,1,0,6.751564999999999,2506,8.636484
-315.0959,215.1901,-385146,0,44.0,22.51021,633.748,7,0,10.06268,5484,2.062304
-314.6944,214.8696,-429966,2,32.0,16.0,538.7635,3,0,7.197267999999999,1984,9.604352
-314.5166,-166.8675,-254772,3,34.0,11.38711,819.5895,6,0,5.09035,5421,7.436013000000001
-314.322,213.0432,-248172,1,0.0,10.0,584.428,3,0,4.5201150000000005,5872,9.285295
-314.2475,50.92183,-376522,1,20.0,10.0,368.3292,8,0,4.509056,329,7.3341970000000005
-313.888,-219.1155,-374146,0,20.0,10.0,412.6066,4,0,4.51302,682,5.080798000000001
-313.8092,-206.7495,-247820,0,20.0,10.0,591.2505,4,0,4.531203,7285,9.251206
-313.0059,32.91839,-329548,0,30.0,17.79541,407.9073,6,0,7.955033,1361,5.464564
-312.9427,-225.2387,-432518,1,39.0,15.13858,482.1063,7,0,6.767358,3012,3.131787
-312.8273,-32.76591,-286738,1,20.0,10.0,523.501,2,0,4.567471,977,2.5486169999999997
-312.0544,-207.5143,-340372,0,33.0,16.5,589.0543,9,0,7.419205000000001,960,7.502653
-308.0942,224.1709,-292458,0,20.0,10.0,604.1891,8,0,4.514793,1007,9.339463
-307.311,46.03754,-242804,2,20.0,13.5281,515.0817,4,0,6.047431,7020,0.9956384
-305.3717,-222.8096,-286034,0,20.0,11.33617,655.0825,4,0,5.067577,7020,0.9956384
-301.2107,75.12603,-415710,3,20.0,15.65458,370.0021,8,0,6.998023,7102,2.801346
-299.9232,194.9414,-341340,0,32.0,16.0,590.3837,1,0,7.197169000000001,1141,9.162782
-299.803,73.50636,-375554,3,20.0,10.22813,390.2722,1,0,4.572254,7106,3.917767
-296.7451,40.303020000000004,-259436,3,37.0,17.32364,897.9687,3,0,7.744138,789,8.156995
-290.7366,109.3166,-298794,3,33.0,15.29473,906.0494,5,0,6.837161,716,3.719993
-290.1942,75.84353,-333068,0,20.0,10.5511,419.7871,8,0,4.71663,2221,9.645562
