zAxisPos,xAxisPos,AgentID,collisions,topSpeed(mph),currentSpeed(mph),distanceOfTravel(meters),raycastLength,tractionControl,VelocityMagnitude(BETA),VehicleMass,Downforce
-340.7094,44.62027,-1036134,1,40.0,11.40576,1108.617,7,0,5.0986839999999995,981,4.894718
-321.0765,46.16231,-999916,1,20.0,10.0,949.8439,2,0,4.508053,282,0.2908893
-311.6461,-202.1057,-1034462,0,43.0,9.612424,1202.694,5,0,4.297016,3030,0.37905520000000004
-311.2751,5.240897,-945772,2,33.0,16.931160000000002,1251.857,1,0,7.568689999999999,6200,6.938941000000001
-310.4021,73.85635,-998244,0,20.0,10.0,827.8635,7,0,4.516445,2499,2.785405
-306.6511,-195.5728,-1068124,0,20.0,10.0,889.4906,8,0,4.519295,7336,7.434247999999999
-303.3239,-165.7492,-939964,2,0.0,10.0,654.4207,6,0,4.527583,7413,4.717373
-298.3939,197.2752,-1005900,0,31.0,19.50763,1222.872,1,0,8.720442,6787,8.933539999999999
-296.6726,198.6955,-947356,1,44.0,19.78428,1252.839,1,0,8.844114,6302,3.7933510000000004
-289.70799999999997,-44.00718,-1072260,0,42.0,12.63798,707.37,9,0,5.649522,163,9.391259
-287.5251,-17.30548,-1039566,2,0.0,16.5,1099.9180000000001,7,0,7.41465,3718,8.31513
-286.9521,-14.02256,-1034198,1,20.0,14.05485,750.3775,3,0,6.282903,7223,1.859479
-285.4095,52.19778,-1034286,0,20.0,10.0,729.1848,8,0,4.518987,7336,7.434247999999999
-285.1793,-152.3581,-942516,2,42.0,21.0,1400.38,7,0,9.426992,1497,5.038979
-285.1125,-37.64224,-1032790,1,20.0,10.0,778.6073,6,0,4.517383000000001,1361,5.464564
-285.0518,-29.787770000000002,-1067244,0,20.0,10.0,721.7330000000001,7,0,4.525498000000001,6701,0.24503490000000003
-284.7125,-135.9623,-1072964,0,34.0,13.112779999999999,1029.385,1,0,5.861772,1048,8.625082
-284.4688,-282.8793,-948500,1,40.0,16.0636,1214.313,8,0,7.180866,1396,8.40135
-283.9661,-257.2087,-1003964,1,41.0,22.15571,1347.29,3,0,9.904206,5872,9.285295
-283.599,-170.9669,-1106034,3,40.0,16.07855,1449.455,8,0,7.187552,630,5.906255000000001
-281.4568,43.74331,-1067684,1,20.0,11.39076,712.81,2,0,5.09198,282,0.2908893
-281.0367,-271.9236,-1001500,1,40.0,18.735670000000002,1428.8120000000001,1,0,8.375354,7106,3.917767
-279.2451,-164.7844,-1039126,3,34.0,9.843169999999999,972.4232,1,0,4.4001660000000005,1048,8.625082
-260.4217,46.43995,-1068564,4,41.0,20.5,1088.503,3,0,9.179116,3576,6.807281
-258.7791,45.54372,-944364,0,37.0,16.759179999999997,1119.376,8,0,7.491811,329,7.3341970000000005
-258.3813,221.1791,-1002468,0,37.0,23.65022,1377.086,8,0,10.572289999999999,329,7.3341970000000005
-257.7143,-271.5309,-1070588,0,32.0,16.0,943.5145,4,0,7.199567,3373,4.869832
-256.6034,-257.4224,-1101810,0,20.0,13.12994,908.9497,4,0,5.869441999999999,682,5.080798000000001
-255.9514,86.2422,-940316,1,20.0,10.0,732.1117,3,0,4.533913,5870,0.502775
-255.1448,-58.80988000000001,-1101986,1,20.0,18.72585,959.6682,3,0,8.370967,7223,1.859479
-254.5208,-280.6813,-1040446,0,36.0,11.46728,1093.865,6,0,5.126189,6660,4.319136
-253.3176,14.972560000000001,-1071468,2,40.0,20.85056,1052.112,6,0,9.320769,3602,4.342715
-250.7742,-103.9122,-1067596,1,10.0,5.0,708.7724,5,0,2.287944,937,8.544025999999999
-250.7556,-46.39976,-1067772,0,20.0,9.315274,609.1295,2,0,4.164182,1147,5.214017
-249.7673,224.8274,-1033142,0,30.0,15.0,771.1401,4,0,6.752371000000001,4703,9.241696000000001
-248.7595,-104.0232,-1003348,5,44.0,6.275047,1447.18,3,0,2.8051169999999996,7420,7.819134
-244.3002,221.8524,-1072436,1,39.0,20.066129999999998,1149.514,6,0,8.970108999999999,5900,2.8205720000000003
-243.8636,136.6893,-1004404,1,36.0,17.99531,1296.921,8,0,8.044393,5646,5.013028
-242.8553,-133.8587,-943924,2,42.0,19.9628,1393.745,7,0,8.923915,3437,6.234212
-234.5229,76.88663000000001,-1104626,2,42.0,21.0,1307.667,8,0,9.427046,3091,2.0693080000000004
-234.43400000000003,74.44191,-1032878,3,20.0,10.11308,265.5271,4,0,4.520823,5011,7.313003
-228.3229,-167.1093,-941372,0,20.0,10.0,955.8303,7,0,4.516587,6701,0.24503490000000003
-225.1216,-215.6829,-1106210,0,42.0,11.16796,770.7848,9,0,4.992382,163,9.391259
-224.6318,56.384330000000006,-999036,3,10.0,5.0,832.4498,4,0,2.29727,7303,5.851449
-224.4231,241.2838,-1005636,8,15.95,4.610282,1219.231,7,0,2.060922,3718,8.31513
-224.3405,51.6931,-1032438,1,10.0,5.0,764.2537,8,0,2.289414,3715,9.096752
-224.0098,-51.7163,-1102426,1,33.0,18.29025,1333.025,6,0,8.176238,2138,5.405807
-223.9688,-40.692240000000005,-945156,3,30.0,15.0,1079.677,1,0,6.720134,3692,8.432408
-223.9228,-104.0308,-1104978,6,30.0,15.118979999999999,1089.718,1,0,6.758595,3692,8.432408
-223.7888,233.6394,-1001588,2,32.0,16.0,1247.345,8,0,7.195703999999999,4098,7.105482
-223.5231,92.19596,-1068036,0,20.0,10.0,788.1064,3,0,4.575793,7223,1.859479
-222.3705,207.5369,-1002644,1,39.0,17.79068,1238.902,4,0,7.9529179999999995,1290,5.488004
-217.4841,12.96418,-1037014,7,37.0,18.5,964.1495,2,0,8.308767999999999,3715,4.5735589999999995
-217.2143,-255.3211,-1070060,1,42.0,10.5445,1008.893,3,0,4.71368,2995,2.113513
-210.8538,-76.50323,-1005020,0,33.0,19.01536,1358.91,8,0,8.500383,1007,9.339463
-203.0003,-74.60051999999999,-1066012,0,10.0,5.0,670.2875,7,0,2.290235,2499,2.785405
-200.1016,-196.0426,-1000972,2,40.0,8.162642,1437.34,2,0,3.6489230000000004,493,2.751297
-196.8529,207.0537,-1066892,2,20.0,10.0,661.5571,4,0,4.574113,3187,1.346459
-196.1876,205.4166,-941988,0,20.0,10.0,853.4541,4,0,4.517247,682,5.080798000000001
-196.0073,12.91693,-1066540,2,10.0,9.999998,681.9354,5,0,4.521662999999999,6295,6.129537
-195.4534,-86.51247,-943484,1,32.0,16.0,1204.318,8,0,7.196459,4098,7.105482
-195.4416,70.59568,-1069796,2,0.0,4.723918,925.0631,7,0,2.11172,3437,6.234212
-194.5142,143.8525,-1100578,1,20.0,10.0,931.301,6,0,4.516971,1361,5.464564
-194.4656,-67.75488,-942164,0,20.0,10.0,632.4074,3,0,4.526643,7223,1.859479
-194.2079,282.1721,-946212,2,40.0,19.29899,1361.6979999999999,8,0,8.627174,630,5.906255000000001
-193.7588,-78.86362,-1100138,2,20.0,10.0,851.1987,3,0,4.568763,5870,0.502775
-193.3655,233.315,-1004844,2,37.0,18.5,1298.5710000000001,7,0,8.306892,817,7.786792999999999
-192.9174,85.83585,-1038070,3,0.0,0.0,72.50825,3,0,0.07150646,2257,4.851408999999999
-191.3814,-45.73284,-1003260,1,30.0,12.771180000000001,1179.8239999999998,1,0,5.709066,3692,8.432408
-189.5945,76.09888000000001,-1031910,2,20.0,10.0,744.7816,2,0,4.529205999999999,7485,6.154612
-189.0026,-194.1277,-998508,2,20.0,11.5399,881.4072,8,0,5.158648,3715,9.096752
-183.3714,-13.542689999999999,-940052,1,10.0,10.0,766.0567,7,0,4.519373000000001,5389,6.3220410000000005
-182.0711,43.54927,-1072172,4,36.0,18.0,1053.5819999999999,8,0,8.094116,5646,5.013028
-179.8901,-104.4295,-1032526,0,20.0,10.0,845.35,4,0,4.518075,7020,0.9956384
-176.054,-195.3481,-1031822,0,30.0,15.0,802.1935,4,0,6.751383000000001,2268,6.336945
-167.8517,12.588610000000001,-943308,0,43.0,21.5,1239.035,1,0,9.651698,2506,8.636484
-167.2447,-26.308040000000002,-1001412,1,43.0,21.5,1240.01,1,0,9.650286999999999,2506,8.636484
-165.2205,336.3808,-1069092,0,35.0,17.5,1025.976,2,0,7.866363000000001,3134,0.8500629999999999
