zAxisPos,xAxisPos,AgentID,collisions,topSpeed(mph),currentSpeed(mph),distanceOfTravel(meters),raycastLength,tractionControl,VelocityMagnitude(BETA),VehicleMass,Downforce
335.9156,44.09121,-672930,0,20.0,10.0,647.7094,7,0,4.521105,3437,6.234212
344.4887,-119.9805,-671258,1,20.0,10.226460000000001,699.1319,8,0,4.5715069999999995,7336,7.434247999999999
344.57599999999996,165.9423,-838446,1,30.0,15.0,1087.628,7,0,6.751669000000001,2499,2.785405
345.2173,-37.36877,-711346,2,40.0,0.0,1559.318,8,0,0.09463736,1396,8.40135
345.73199999999997,122.3612,-671610,0,20.0,10.0,744.0425,6,0,4.52147,2138,5.405807
345.8759,-35.3304,-709322,4,0.0,0.0,1387.797,9,0,0.07402924,3938,3.346447
348.0448,-163.8359,-841614,0,20.0,9.999998,1088.252,1,0,4.5190589999999995,2506,8.636484
350.2404,48.98127,-641276,5,40.0,3.306739,1228.0439999999999,8,0,1.4782030000000002,630,5.906255000000001
350.4027,47.12481,-638284,5,0.0,3.3170129999999998,508.2232,2,0,1.482795,3134,0.8500629999999999
353.1669,-160.3681,-674514,3,43.0,10.49167,1047.729,4,0,4.690065,7285,9.251206
358.1424,-75.84756,-637052,2,30.0,15.0,818.9896,4,0,6.744699000000001,682,5.080798000000001
363.5746,48.09861,-640836,1,33.0,16.5,1171.818,1,0,7.421825,6200,6.938941000000001
369.7488,111.7032,-640660,0,40.0,11.26782,1194.4,6,0,5.037021,3602,4.342715
373.0098,126.0835,-669850,0,20.0,9.999998,694.2582,4,0,4.576993,5011,7.313003
373.3418,-97.95872,-838358,3,20.0,12.789719999999999,1032.924,7,0,5.717352,5389,6.3220410000000005
374.7833,148.4667,-913422,0,44.0,23.62319,1104.237,1,0,10.560210000000001,6302,3.7933510000000004
375.0066,-5.1794139999999995,-636260,0,20.0,10.0,797.6511,2,0,4.516776,977,2.5486169999999997
375.6424,43.6273,-669146,0,20.0,10.0,615.4041,7,0,4.5197709999999995,2499,2.785405
389.7961,-105.2975,-705626,2,20.0,16.81973,1512.3139999999999,6,0,7.518877000000001,508,3.2206930000000003
403.2127,-58.83513000000001,-676098,1,34.0,17.0,990.8488,1,0,7.640024,1048,8.625082
403.9087,-5.381576,-638900,3,20.0,10.0,562.9097,4,0,4.520872,3483,8.860469
404.7625,-121.4131,-911574,0,43.0,21.5,1099.7060000000001,4,0,9.646016,7285,9.251206
406.4953,17.47094,-843550,3,0.0,0.0,839.8407,3,0,0.07132355,7420,7.819134
420.411,-45.981759999999994,-670730,0,20.0,10.0,655.4437,5,0,4.517491000000001,937,8.544025999999999
434.1413,-37.86838,-909374,3,20.0,13.05215,611.8887,1,0,5.834668,2506,8.636484
436.5928,-70.80001999999999,-704218,3,20.0,10.0,1423.48,7,0,4.5209589999999995,6701,0.24503490000000003
463.1537,-16.65382,-841438,0,20.0,7.077494000000001,979.7612,3,0,3.1638330000000003,138,4.220197
463.8034,-25.50065,-703602,1,20.0,10.0,1337.02,6,0,4.517074,1361,5.464564
464.0497,-29.165190000000003,-706330,1,20.0,10.0,1326.4,8,0,4.52177,4098,7.105482
473.2329,-72.13677,-911838,0,33.0,30.341079999999998,1025.066,1,0,13.56329,6200,6.938941000000001
478.2667,-45.39589,-908494,0,20.0,10.0,619.5403,5,0,4.521568,3030,0.37905520000000004
486.4702,14.34936,-636348,3,20.0,10.0,774.3082,4,0,4.516511,1118,5.458315
492.1479,-72.46736999999999,-705538,0,30.0,15.0,1357.004,3,0,6.746133,3576,6.807281
