zAxisPos,xAxisPos,AgentID,collisions,topSpeed(mph),currentSpeed(mph),distanceOfTravel(meters),raycastLength,tractionControl,VelocityMagnitude(BETA),VehicleMass,Downforce
-337.0118,45.80039,-507510,0,20.0,10.0,633.2184,1,0,4.519665,6787,8.933539999999999
-336.9212,45.79285,-507510,0,20.0,10.145769999999999,633.3093,1,0,4.535437,6787,8.933539999999999
-331.1311,45.27858,-500910,0,20.0,10.0,576.4376,2,0,4.519644,977,2.5486169999999997
-331.0407,45.2757,-500910,0,20.0,10.0,576.5281,2,0,4.519654,977,2.5486169999999997
-315.6075,50.78152,-60134,0,20.0,10.0,750.5396,7,0,4.521959,6701,0.24503490000000003
-315.5833,50.86874,-60134,0,20.0,9.999998,750.6301,7,0,4.519741000000001,6701,0.24503490000000003
-314.7015,219.0415,-472858,0,20.0,8.696399000000001,663.1386,2,0,3.8875269999999995,116,6.786944999999999
-314.6815,219.1172,-472858,0,20.0,8.674399000000001,663.0604,2,0,3.877693,116,6.786944999999999
-314.6225,57.61241999999999,-470394,0,20.0,10.0,590.0911,4,0,4.5170330000000005,1290,5.488004
-314.6212,65.46776,-536150,0,20.0,12.4067,605.1923,6,0,5.5461339999999995,2138,5.405807
-314.6204,57.70245,-470394,0,20.0,10.0,590.001,4,0,4.517437999999999,1290,5.488004
-314.6162,65.57857,-536150,0,20.0,12.29327,605.0814,6,0,5.4954279999999995,2138,5.405807
-314.2654,-212.5335,-533686,2,20.0,10.0,643.3815,7,0,4.5216650000000005,2499,2.785405
-314.2636,-212.4428,-533686,2,20.0,10.0,643.2908,7,0,4.517828,2499,2.785405
-314.1721,202.6477,-808384,0,20.0,10.0,1117.4489999999998,7,0,4.520865000000001,3437,6.234212
-314.1602,202.5589,-808384,0,20.0,10.0,1117.538,7,0,4.520299,3437,6.234212
-313.8128,-188.9922,-539494,1,20.0,10.0,644.7477,6,0,4.513011,5289,0.7448353
-313.7917,-189.0805,-539494,1,20.0,10.0,644.8384,6,0,4.521808999999999,5289,0.7448353
-313.3864,-190.3436,-810760,0,20.0,10.91875,1253.881,8,0,4.880978,5646,5.013028
-313.3688,-190.4412,-810760,0,20.0,11.02867,1253.98,8,0,4.930116,5646,5.013028
-310.6708,-224.7051,-541430,0,20.0,9.296388,614.2691,1,0,4.155739,3781,9.460042
