zAxisPos,xAxisPos,AgentID,collisions,topSpeed(mph),currentSpeed(mph),distanceOfTravel(meters),raycastLength,tractionControl,VelocityMagnitude(BETA),VehicleMass,Downforce,,50_60 AVG VELOCITY
249.5556,164.9053,-293532,0,38,9.699944,1840.917,7,0,4.33614,2676,3.633125,,
251.6005,-192.6791,-262272,1,10,5,1118.645,4,0,2.289939,5011,7.313003,,
253.3007,31.92787,-292564,0,20,10.11775,1112.062,4,0,4.522909,682,5.080798,,
254.3067,-6.370913,-203704,0,20,14.48807,1081.122,4,0,6.476563,7303,5.851449,,
254.7059,128.8013,-175882,1,43,21.5,1471.524,5,0,9.64152,3030,0.3790552,,
255.0452,32.17908,-263064,0,20,9.999998,1130.228,9,0,4.5206,2105,5.804913,,
255.4149,160.8279,-235494,0,32,11.30936,1410.57,8,0,5.055593,4098,7.105482,,
255.6255,-156.6605,-206080,3,43,13.39774,1634.482,1,0,5.989156,2506,8.636484,,
256.4464,-369.6638,-173682,0,20,10,921.7431,8,0,4.505614,7102,2.801346,,
260.1427,134.0188,-202736,1,20,10.32286,1053.236,6,0,4.614602,7413,4.717373,,
263.9098,-285.9269,-291068,0,30,29.45125,1128.261,4,0,13.16551,7020,0.9956384,,
274.7854,-135.2858,-232678,4,20,10,842.9699,5,0,4.519842,6295,6.129537,,
275.0985,-255.5814,-174914,0,10,5,793.7059,5,0,2.29162,3172,6.888597,,
280.3011,43.29675,-206872,3,40,20,1713.268,7,0,8.979026,981,4.894718,,
281.2343,-251.2579,-293884,1,0,0,1390.819,1,0,0.06623118,2506,8.636484,,
287.0548,-22.74318,-205464,5,41,20.5,1708.29,3,0,9.206975,3576,6.807281,,
291.1342,-165.6419,-203176,2,20,10,1017.473,8,0,4.517854,3715,9.096752,,
293.3283,113.6807,-293444,2,40,19.76628,1826.262,2,0,8.836065,493,2.751297,,
312.9016,-280.3349,-234702,6,41,8.7061,1367.937,3,0,3.891864,3576,6.807281,,
315.6169,-9.573724,-292036,0,30,14.98526,1120.507,5,0,6.698821,3172,6.888597,,
316.7552,56.40089,-293180,2,33,16.5,1584.728,6,0,7.421722,2138,5.405807,,
323.1802,105.9709,-176586,0,43,19.41084,916.1187,3,0,8.677174,138,4.220197,,
331.2411,106.2499,-174386,0,20,20,1061.36,4,0,8.951181,7303,5.851449,,
335.4146,74.33125,-176762,8,43,21.5,1460.045,1,0,9.648975,2506,8.636484,,
337.1248,-15.28483,-263240,0,20,10,1200.655,2,0,4.508307,282,0.2908893,,
344.0472,100.8365,-175354,3,20,10.74269,853.3923,2,0,4.802274,1147,5.214017,,
344.6285,-28.97352,-232942,0,10,5,997.928,4,0,2.287292,7303,5.851449,,
345.1573,123.7709,-204848,3,20,10,1105.112,8,0,4.522285,4047,1.131522,,
345.3708,-126.7114,-290716,0,20,10,1061.574,7,0,4.518576,2499,2.785405,,
346.294,48.54265,-293004,1,43,20.91507,1903.581,5,0,9.349606,3030,0.3790552,,
350.1204,103.7202,-176938,2,0,0,1366.187,8,0,0.07181678,4098,7.105482,,
354.8211,72.06944,-235582,0,35,6.813803,896.6683,2,0,3.045956,139,6.837638,,
360.2705,105.0305,-232414,1,20,10,978.0833,8,0,4.522294,3715,9.096752,,
362.887,-135.5895,-263592,0,20,10,1167.629,3,0,4.521399,7223,1.859479,,
366.0463,75.14849,-204584,3,20,9.999998,1054.718,2,0,4.503004,282,0.2908893,,
368.0819,-103.4988,-262008,0,20,10.11636,1082.616,8,0,4.522289,2122,4.190197,,
372.4357,-135.7923,-291508,0,20,10,1120.802,4,0,4.520017,7303,5.851449,,
374.6068,-30.98908,-173330,3,20,10,881.0662,2,0,4.518346,7485,6.154612,,
377.0377,-136.0151,-261656,0,20,10,991.3837,8,0,4.524652,7102,2.801346,,
377.8782,-135.3941,-293796,1,35,17.5,1663.465,2,0,7.866509,3134,0.850063,,
402.1086,-132.3656,-261304,0,20,10,1083.424,2,0,4.526578,7485,6.154612,,
403.9545,11.49997,-202912,2,20,12.40079,1073.454,7,0,5.543494,2499,2.785405,,
431.9998,-72.72617,-232062,0,20,10,989.1614,7,0,4.524526,5389,6.322041,,
434.0262,-70.88421,-236022,0,30,13.72647,1448.341,4,0,6.136105,7160,2.699402,,
463.2649,-35.68393,-175618,1,20,12.5969,922.3519,3,0,5.631158,7223,1.859479,,
493.4882,-69.86184,-264472,0,39,12.44377,1742.707,6,0,5.562706,5725,2.193673,,
